qseqid	sseqid	pident	length	evalue	bitscore
WP_001831665.1	sp|O33635|ATL_STAEP	100	1335	0	2707
WP_057504628.1	sp|Q2FUW1|SRAP_STAA8	63.636	539	0	667
WP_002487864.1	sp|Q2FJ77|SDRE_STAA3	45.21	856	0	612
WP_138936984.1	sp|O86487|SDRC_STAAE	50.436	573	2.83E-157	489
WP_410467994.1	sp|O86487|SDRC_STAAE	49.459	370	8.49E-97	310
WP_410467994.1	sp|Q2FJ78|SDRD_STAA3	67.421	221	1.65E-89	295
WP_410467994.1	sp|Q2FJ77|SDRE_STAA3	65.778	225	2.54E-87	287
WP_138936984.1	sp|Q2FJ77|SDRE_STAA3	31.45	938	1.31E-83	289
WP_002487864.1	sp|O86487|SDRC_STAAE	37.171	608	1.33E-80	275
WP_410467994.1	sp|Q2FJ77|SDRE_STAA3	41.623	382	2.86E-75	253
WP_410467994.1	sp|Q2FJ78|SDRD_STAA3	39.583	384	9.03E-73	247
WP_002487864.1	sp|Q2FJ78|SDRD_STAA3	54.8	250	1.22E-67	240
WP_002487864.1	sp|Q2FJ77|SDRE_STAA3	51.575	254	3.93E-63	225
WP_002487864.1	sp|Q2FJ78|SDRD_STAA3	54.751	221	5.72E-61	219
WP_001830727.1	sp|O33635|ATL_STAEP	43.541	209	3.09E-54	181
WP_001832638.1	sp|O33635|ATL_STAEP	48.731	197	2.37E-53	177
WP_002487864.1	sp|Q5HCR7|CLFB_STAAC	25.517	580	2.99E-32	126
WP_002487864.1	sp|Q53653|CLFA_STAAE	30.65	323	7.62E-26	105
WP_001829253.1	tr|A0A1L7H885|A0A1L7H885_STAAU	40.87	115	8.65E-22	82.8
WP_002487864.1	sp|O86487|SDRC_STAAE	34.348	230	4.16E-20	87.4
WP_138936984.1	sp|Q2G2B2|SASG_STAA8	71.154	52	1.51E-19	85.9
WP_138936984.1	sp|P80544|PLS_STAAU	73.913	46	6.85E-19	84
WP_138936984.1	sp|Q5HCR7|CLFB_STAAC	60.87	46	6.95E-16	73.9
WP_138936984.1	sp|O86487|SDRC_STAAE	38.065	155	5.85E-14	67.4
WP_002487864.1	sp|Q2FE03|FNBA_STAA3	21.559	603	1.12E-13	66.2
WP_002487864.1	sp|O86487|SDRC_STAAE	38.542	96	2.00E-13	65.5
WP_138936984.1	sp|Q2FJ78|SDRD_STAA3	58	50	3.94E-13	65.1
WP_002487864.1	sp|P80544|PLS_STAAU	45.312	64	7.74E-13	63.9
WP_138936984.1	sp|Q5HCR7|CLFB_STAAC	28.866	291	9.10E-13	63.5
WP_410467994.1	sp|Q5HCR7|CLFB_STAAC	33.813	139	1.54E-12	61.6
WP_001829425.1	sp|Q2FJ77|SDRE_STAA3	32.941	170	2.05E-11	58.2
WP_002485785.1	sp|P80544|PLS_STAAU	56	50	2.72E-11	58.2
WP_002437272.1	sp|Q2FJ77|SDRE_STAA3	32	175	2.12E-10	54.7
WP_002437272.1	sp|O86487|SDRC_STAAE	30.137	146	4.87E-10	53.5
WP_002487864.1	sp|Q2G2B2|SASG_STAA8	47.368	57	6.30E-10	54.3
WP_001832578.1	sp|Q2FJ77|SDRE_STAA3	26.038	265	7.58E-10	53.1
WP_002437272.1	sp|Q2FJ78|SDRD_STAA3	31.056	161	9.29E-10	52.8
WP_025987120.1	sp|Q2FJ77|SDRE_STAA3	28.384	229	1.15E-09	52.4
WP_002485785.1	sp|Q2G2B2|SASG_STAA8	60.976	41	1.79E-09	52.4
WP_057504628.1	sp|P80544|PLS_STAAU	28.099	242	2.70E-09	53.1
WP_025987120.1	sp|Q2FJ78|SDRD_STAA3	29.375	160	6.67E-09	49.7
WP_001832578.1	sp|Q2G2B2|SASG_STAA8	30.392	102	1.55E-08	48.9
WP_138936984.1	sp|P80544|PLS_STAAU	56	50	1.83E-08	49.7
WP_001829425.1	sp|Q5HCR7|CLFB_STAAC	27.778	90	2.23E-08	48.1
WP_001829425.1	sp|Q2G2B2|SASG_STAA8	46	50	2.51E-08	48.1
WP_002485785.1	sp|O86487|SDRC_STAAE	50	40	3.73E-08	47.8
WP_001829425.1	sp|Q2FJ78|SDRD_STAA3	26.21	248	7.30E-08	46.6
WP_002485785.1	sp|Q2FJ78|SDRD_STAA3	55.556	36	7.77E-08	47
WP_002485785.1	sp|Q2FJ77|SDRE_STAA3	55.556	36	8.14E-08	46.6
WP_001829425.1	sp|P80544|PLS_STAAU	43.137	51	2.62E-07	44.7
WP_001832578.1	sp|Q2FJ78|SDRD_STAA3	39.13	69	2.81E-07	44.7
WP_001830462.1	tr|A0A1L7H885|A0A1L7H885_STAAU	33.036	112	3.47E-07	40.8
WP_002485785.1	sp|Q5HCR7|CLFB_STAAC	40	50	5.93E-07	43.9
WP_002437272.1	sp|Q2G2B2|SASG_STAA8	31.579	76	7.05E-07	43.5
WP_025987120.1	sp|O86487|SDRC_STAAE	29.323	133	7.79E-07	43.1
WP_001832578.1	sp|P80544|PLS_STAAU	31.765	85	8.16E-07	43.1
WP_002437272.1	sp|P80544|PLS_STAAU	28.333	120	1.17E-06	42.7
WP_001829425.1	sp|O86487|SDRC_STAAE	55.556	36	1.40E-06	42.4
WP_025987120.1	sp|P80544|PLS_STAAU	26.724	116	2.30E-06	41.6
WP_138936984.1	sp|Q2FE03|FNBA_STAA3	42.308	52	3.08E-06	42.4
WP_410467994.1	sp|Q2G2B2|SASG_STAA8	43.59	39	4.12E-06	40.8
WP_002437272.1	sp|Q5HCR7|CLFB_STAAC	48.718	39	5.18E-06	40.4
WP_057504628.1	sp|Q2G2B2|SASG_STAA8	30.556	180	5.26E-06	42.4
WP_002487864.1	sp|Q8NW39|ISDH_STAAW	24.074	216	8.44E-06	40.4
WP_001832578.1	sp|Q5HCR7|CLFB_STAAC	38.298	47	9.07E-06	39.7
WP_001832578.1	sp|O86487|SDRC_STAAE	42.593	54	9.94E-06	39.7
WP_138936984.1	sp|Q8NW39|ISDH_STAAW	24.413	213	1.31E-05	40
WP_002438303.1	tr|A0A1L7H885|A0A1L7H885_STAAU	29.661	118	3.43E-05	35
WP_001829425.1	sp|Q2FE03|FNBA_STAA3	34.94	83	3.89E-05	37.7
WP_025987120.1	sp|Q8NW39|ISDH_STAAW	43.902	41	4.19E-05	37.4
WP_001830028.1	sp|Q2FE03|FNBA_STAA3	35.593	59	5.13E-05	36.6
WP_025987120.1	sp|Q5HCR7|CLFB_STAAC	50	46	5.20E-05	37
WP_001829425.1	sp|Q7A656|ISDB_STAAN	51.515	33	5.69E-05	37
WP_025987120.1	sp|Q53653|CLFA_STAAE	31.532	111	6.09E-05	37
WP_138936984.1	sp|Q2FE03|FNBA_STAA3	26.923	130	7.93E-05	37.7
WP_080388512.1	sp|O86487|SDRC_STAAE	41.304	46	9.34E-05	40.4
WP_002485785.1	sp|Q8NW39|ISDH_STAAW	41.463	41	1.16E-04	36.2
WP_002485785.1	sp|Q53653|CLFA_STAAE	37.838	37	1.20E-04	36.2
WP_410467994.1	sp|Q2FE03|FNBA_STAA3	51.282	39	1.21E-04	35.8
WP_080388512.1	sp|Q2FJ77|SDRE_STAA3	35	80	1.30E-04	40
WP_002437327.1	sp|O33635|ATL_STAEP	22.887	284	1.46E-04	35.4
WP_410467994.1	sp|Q8NW39|ISDH_STAAW	20.089	224	1.86E-04	35.4
WP_025987120.1	sp|Q2G2B2|SASG_STAA8	43.243	37	1.88E-04	35.4
WP_002485785.1	sp|Q2FHV1|ISDA_STAA3	57.143	21	2.06E-04	35
WP_080388512.1	sp|Q2FJ78|SDRD_STAA3	44.444	36	2.71E-04	38.9
WP_001829425.1	sp|Q53653|CLFA_STAAE	24.701	251	2.89E-04	34.7
