ProteinID_x,Description,SignalP,Cwpred,TMHMM,DeepLocPro,ProteinID_clean,ProteinID_y,Pfam,SignalP_score,Cwpred_score,TMHMM_score,DeepLoc_score,Pfam_score,raw_sum,available_max,score100
WP_002489907.1 LPXTG cell wall anchor domain-containing protein _Staphylococcus epidermidis_,LPXTG cell wall anchor domain-containing protein ,SP,Cell-wall binding protein,PredHel=0,Cellwall_Surface,WP_002489907.1,,,16,15,15,20,,66,70,94.28571429
WP_138936984.1 SdrD B-like domain-containing protein _Staphylococcus epidermidis_,SdrD B-like domain-containing protein ,SP,Cell-wall binding protein,PredHel=0,Cellwall_Surface,WP_138936984.1,,,16,15,15,20,,66,70,94.28571429
WP_000733270.1 MULTISPECIES_ penicillin-hydrolyzing class A beta-lactamase BlaZ _Staphylococcus_,penicillin-hydrolyzing class A beta-lactamase BlaZ ,LIPO,Globular protein,PredHel=0,Extracellular,WP_000733270.1,,,20,6,15,16,,57,70,81.42857143
WP_001829365.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,LIPO,Globular protein,PredHel=0,Extracellular,WP_001829365.1,,,20,6,15,16,,57,70,81.42857143
WP_001832592.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,LIPO,Globular protein,PredHel=0,Extracellular,WP_001832592.1,,,20,6,15,16,,57,70,81.42857143
WP_002455952.1 tandem-type lipoprotein _Staphylococcus epidermidis_,tandem-type lipoprotein ,LIPO,Globular protein,PredHel=0,Extracellular,WP_002455952.1,,,20,6,15,16,,57,70,81.42857143
WP_002455955.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,LIPO,Globular protein,PredHel=0,Extracellular,WP_002455955.1,,,20,6,15,16,,57,70,81.42857143
WP_002456066.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,LIPO,Globular protein,PredHel=0,Extracellular,WP_002456066.1,,,20,6,15,16,,57,70,81.42857143
WP_002487864.1 SdrD B-like domain-containing protein _Staphylococcus epidermidis_,SdrD B-like domain-containing protein ,SP,Cell-wall binding protein,PredHel=1,Cellwall_Surface,WP_002487864.1,,,16,15,6,20,,57,70,81.42857143
WP_002489707.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,LIPO,Globular protein,PredHel=0,Extracellular,WP_002489707.1,,,20,6,15,16,,57,70,81.42857143
WP_002485785.1 YSIRK-type signal peptide-containing protein _Staphylococcus epidermidis_,YSIRK-type signal peptide-containing protein ,SP,Cell-wall binding protein,PredHel=0,Cellwall_Surface,WP_002485785.1,WP_002485785.1,PF04650;PF00746,16,15,15,20,12,78,100,78
WP_001829442.1 MULTISPECIES_ immunodominant staphylococcal antigen IsaB family protein _Staphylococcus_,immunodominant staphylococcal antigen IsaB family protein ,SP,Globular protein,PredHel=0,Extracellular,WP_001829442.1,,,16,6,15,16,,53,70,75.71428571
WP_001829621.1 MULTISPECIES_ COG3942 and LysM peptidoglycan-binding domain-containing protein _Staphylococcus_,COG3942 and LysM peptidoglycan-binding domain-containing protein ,SP,Globular protein,PredHel=0,Extracellular,WP_001829621.1,,,16,6,15,16,,53,70,75.71428571
WP_001829860.1 MULTISPECIES_ trypsin-like serine peptidase _Staphylococcus_,trypsin-like serine peptidase ,SP,Globular protein,PredHel=0,Extracellular,WP_001829860.1,,,16,6,15,16,,53,70,75.71428571
WP_001830372.1 MULTISPECIES_ immunodominant staphylococcal antigen IsaB family protein _Staphylococcus_,immunodominant staphylococcal antigen IsaB family protein ,SP,Globular protein,PredHel=0,Extracellular,WP_001830372.1,,,16,6,15,16,,53,70,75.71428571
WP_001830672.1 MULTISPECIES_ poly-gamma-glutamate hydrolase family protein _Staphylococcus_,poly-gamma-glutamate hydrolase family protein ,SP,Globular protein,PredHel=0,Extracellular,WP_001830672.1,,,16,6,15,16,,53,70,75.71428571
WP_001831881.1 MULTISPECIES_ amidase domain-containing protein _Staphylococcus_,amidase domain-containing protein ,SP,Globular protein,PredHel=0,Extracellular,WP_001831881.1,,,16,6,15,16,,53,70,75.71428571
WP_002438102.1 MULTISPECIES_ CHAP domain-containing protein _Staphylococcus_,CHAP domain-containing protein ,SP,Globular protein,PredHel=0,Extracellular,WP_002438102.1,,,16,6,15,16,,53,70,75.71428571
WP_002438783.1 MULTISPECIES_ SA0570 family protein _Staphylococcus_,SA0570 family protein ,SP,Globular protein,PredHel=0,Extracellular,WP_002438783.1,,,16,6,15,16,,53,70,75.71428571
WP_002455937.1 MULTISPECIES_ immunodominant staphylococcal antigen IsaB family protein _Staphylococcus_,immunodominant staphylococcal antigen IsaB family protein ,SP,Globular protein,PredHel=0,Extracellular,WP_002455937.1,,,16,6,15,16,,53,70,75.71428571
WP_002455963.1 MULTISPECIES_ trypsin-like serine peptidase _Staphylococcus_,trypsin-like serine peptidase ,SP,Globular protein,PredHel=0,Extracellular,WP_002455963.1,,,16,6,15,16,,53,70,75.71428571
WP_002456758.1 MULTISPECIES_ Gldg family protein _Staphylococcus_,Gldg family protein ,SP,Globular protein,PredHel=0,Extracellular,WP_002456758.1,,,16,6,15,16,,53,70,75.71428571
WP_001830036.1 MULTISPECIES_ CHAP domain-containing protein _Staphylococcus_,CHAP domain-containing protein ,SP,Transmembrane protein,PredHel=0,Extracellular,WP_001830036.1,,,16,3,15,16,,50,70,71.42857143
WP_002438072.1 MULTISPECIES_ transglycosylase family protein _Staphylococcus_,transglycosylase family protein ,SP,Transmembrane protein,PredHel=0,Extracellular,WP_002438072.1,,,16,3,15,16,,50,70,71.42857143
WP_001831665.1 MULTISPECIES_ N-acetylmuramoyl-L-alanine amidase _Staphylococcus_,N-acetylmuramoyl-L-alanine amidase ,SP,Globular protein,PredHel=0,Extracellular,WP_001831665.1,WP_001831665.1,PF01832;PF01510;PF13457;PF13457;PF13457;PF13457;PF13457;PF13457,16,6,15,16,18,71,100,71
WP_001830442.1 MULTISPECIES_ CamS family sex pheromone protein _Staphylococcus_,CamS family sex pheromone protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001830442.1,,,20,6,15,8,,49,70,70
