ProteinID,SignalP,Cwpred,TMHMM,DeepLocPro
WP_000010351.1 MULTISPECIES_ cytochrome c biogenesis CcdA family protein _Bacilli_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_000026848.1 MULTISPECIES_ tyrosine-type recombinase_integrase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000036756.1 MULTISPECIES_ carbamate kinase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_000048060.1 MULTISPECIES_ 30S ribosomal protein S21 _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000051479.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000122374.1 MULTISPECIES_ MobV family relaxase _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000162894.1 MULTISPECIES_ YitT family protein _Staphylococcus_,OTHER,Globular protein,PredHel=5,Cytoplasmic Membrane
WP_000163428.1 MULTISPECIES_ dihydrolipoyl dehydrogenase family protein _Bacilli_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000221967.1 MULTISPECIES_ cassette chromosome ssDNA-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000240855.1 MULTISPECIES_ 50S ribosomal protein L34 _Bacillati_,OTHER,Globular protein,PredHel=0,Extracellular
WP_000249804.1 MULTISPECIES_ arginine deiminase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000261373.1 MULTISPECIES_ hypothetical protein _Bacilli_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000272781.1 MULTISPECIES_ Crp_Fnr family transcriptional regulator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000277654.1 MULTISPECIES_ replication initiation factor domain-containing protein _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000282655.1 MULTISPECIES_ thymidylate synthase _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000344142.1 MULTISPECIES_ arginine-ornithine antiporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=14,Cytoplasmic Membrane
WP_000364405.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000377077.1 MULTISPECIES_ hypothetical protein _Bacilli_,OTHER,Globular protein,PredHel=0,Extracellular
WP_000391495.1 MULTISPECIES_ ArsR_SmtB family transcription factor _Bacillota_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000410573.1 MULTISPECIES_ DUF6262 family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000425271.1 MULTISPECIES_ Hg_II_-responsive transcriptional regulator MerR _Bacilli_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000456194.1 MULTISPECIES_ persulfide-sensing transcriptional repressor CstR _Bacillales_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000475804.1 MULTISPECIES_ universal stress protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000492283.1 MULTISPECIES_ tetracycline efflux MFS transporter Tet_K_ _Bacteria_,OTHER,Transmembrane protein,PredHel=14,Cytoplasmic Membrane
WP_000612778.1 MULTISPECIES_ YolD-like family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000635275.1 MULTISPECIES_ recombinase family protein _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000644737.1 MULTISPECIES_ 50S ribosomal protein L29 _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000687965.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000711815.1 MULTISPECIES_ arginine repressor _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000733270.1 MULTISPECIES_ penicillin-hydrolyzing class A beta-lactamase BlaZ _Staphylococcus_,LIPO,Globular protein,PredHel=0,Extracellular
WP_000746201.1 MULTISPECIES_ TlpA family protein disulfide reductase _Bacilli_,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_000790334.1 MULTISPECIES_ organomercurial lyase MerB _Bacilli_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000793596.1 MULTISPECIES_ ornithine carbamoyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000832687.1 MULTISPECIES_ IS3 family transposase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000916431.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_000931963.1 MULTISPECIES_ hypothetical protein _Bacillati_,OTHER,Globular protein,PredHel=0,Extracellular
