ProteinID,feature_annotation,GO_annotation,Description,SigP-Prediction,SigP_score,SigP_CS_Position,DLP-prediction,DLP-score,GPApred-prediction,GPApred-score,TMHMM-topology,TMHMM-TM,Phobius-TM,Phobius-prediction,length,s_seq_id,per_ident,length,qlen,slen,evalue,bitscore
WP_001048816.1,None,Unknown,F0F1 ATP synthase subunit C ,OTHER,1,None,Cytoplasmic Membrane,0.9584,P,0.6,o4-26i47-69o,2,1,n3-14c22/23o46-69i,70,WP_000046076.1,55.556,18,70,402,1,20.8
WP_000048060.1,None,Cytoplasm,30S ribosomal protein S21 ,OTHER,1,None,Cytoplasmic,0.5478,P,0.593,i,0,0,i,58,WP_000290485.1,53.333,15,58,126,4,18.5
WP_001830121.1,None,Unknown,50S ribosomal protein L32 ,OTHER,1,None,Cytoplasmic,0.6613,P,0.584,i,0,0,i,57,WP_001250336.1,100,5,57,437,1.8,19.6
WP_000644737.1,None,Cytoplasm,50S ribosomal protein L29 ,OTHER,1,None,Cytoplasmic,0.9689,P,0.503,i,0,0,i,69,WP_000644737.1,100,69,69,69,1.04E-44,132
WP_001043863.1,None,Unknown,HU family DNA-binding protein ,OTHER,1,None,Cytoplasmic,0.9891,None,None,o,0,0,i,90,WP_001043863.1,100,90,90,90,2.05E-62,178
WP_001118667.1,None,Cytoplasm,30S ribosomal protein S10 ,OTHER,1,None,Cytoplasmic,0.846,None,None,i,0,0,i,102,WP_001118667.1,100,102,102,102,1.73E-73,207
WP_001137495.1,None,Cytoplasm,30S ribosomal protein S7 ,OTHER,1,None,Extracellular,0.6316,None,None,o,0,0,i,156,WP_001137495.1,100,156,156,156,1.81E-116,320
WP_001829725.1,None,Cytoplasm,30S ribosomal protein S11 ,OTHER,1,None,Cytoplasmic,0.926,None,None,i,0,0,i,129,WP_000101625.1,99.225,129,129,129,2.86E-94,261
WP_001829734.1,None,Cytoplasm,50S ribosomal protein L22 ,OTHER,1,None,Cytoplasmic,0.5242,None,None,o,0,0,i,117,WP_000387527.1,99.145,117,117,117,1.44E-82,231
WP_001831354.1,None,Cytoplasm,30S ribosomal protein S18 ,OTHER,1,None,Cytoplasmic,0.8771,P,0.531,o,0,0,i,80,None,None,None,None,None,None,None
WP_001830184.1,None,Cytoplasm,acyl carrier protein ,OTHER,1,None,Cytoplasmic,0.9872,None,None,o,0,0,i,77,WP_000426914.1,98.701,77,77,77,5.69E-50,145
WP_001829294.1,None,Unknown,transcriptional regulator SpxA ,OTHER,1,None,Cytoplasmic,0.9521,None,None,o,0,0,i,131,WP_001140871.1,75,8,131,309,8.6,19.6
WP_001829659.1,None,Unknown,ATP-dependent Clp endopeptidase proteolytic subunit ClpP ,OTHER,1,None,Cytoplasmic,0.898,None,None,o,0,0,i,194,WP_000064078.1,60,15,194,241,0.62,23.9
WP_001829787.1,None,Cytoplasm,DNA-directed RNA polymerase subunit alpha ,OTHER,1,None,Cytoplasmic,0.9196,None,None,o,0,0,i,314,WP_000569649.1,98.408,314,314,314,0,624
WP_001829701.1,None,Cytoplasm,30S ribosomal protein S5 ,OTHER,1,None,Cytoplasmic,0.9249,None,None,o,0,0,i,166,WP_000113850.1,98.16,163,166,163,2.81E-114,315
WP_001829782.1,None,Cytoplasm,50S ribosomal protein L16 ,OTHER,1,None,Extracellular,0.7613,None,None,o,0,0,i,144,WP_000926310.1,97.917,144,144,144,6.27E-103,285
WP_001830822.1,None,Cytoplasm,50S ribosomal protein L27 ,OTHER,1,None,Cytoplasmic,0.7652,None,None,o,0,0,i,94,None,None,None,None,None,None,None
WP_001829723.1,None,Cytoplasm,30S ribosomal protein S17 ,OTHER,1,None,Cytoplasmic,0.5211,None,None,i,0,0,i,87,WP_000004086.1,97.701,87,87,87,1.23E-59,171
WP_001829742.1,None,Cytoplasm,50S ribosomal protein L14 ,OTHER,1,None,Extracellular,0.9018,None,None,o,0,0,i,122,WP_000615921.1,97.541,122,122,122,4.72E-85,238
WP_001831996.1,None,Unknown,D-alanine--poly_phosphoribitol_ ligase subunit 2 ,OTHER,1,None,Cytoplasmic,0.9956,None,None,o,0,0,i,78,None,None,None,None,None,None,None
WP_001831816.1,None,Unknown,response regulator YycF ,OTHER,1,None,Cytoplasmic,0.9915,None,None,o,0,0,i,233,None,None,None,None,None,None,None
WP_001830030.1,None,Unknown,pyridoxal 5_-phosphate synthase lyase subunit PdxS ,OTHER,1,None,Cytoplasmic,0.6049,None,None,o,0,0,i,295,WP_000134963.1,40.741,27,295,311,0.55,24.6
WP_001833083.1,None,Unknown,DNA-directed RNA polymerase subunit beta ,OTHER,1,None,Cytoplasmic,0.8039,None,None,o,0,0,i,1183,None,None,None,None,None,None,None
WP_002440071.1,None,Unknown,RNA polymerase sigma factor RpoD ,OTHER,1,None,Cytoplasmic,0.9891,None,None,o,0,0,i,368,None,None,None,None,None,None,None
WP_001829768.1,None,Cytoplasm,30S ribosomal protein S8 ,OTHER,1,None,Extracellular,0.5295,None,None,o,0,0,i,132,WP_000178881.1,96.97,132,132,132,8.24E-94,261
WP_001831260.1,None,Unknown,cold shock protein CspA ,OTHER,1,None,Cytoplasmic,0.9997,None,None,i,0,0,i,66,None,None,None,None,None,None,None
WP_001831944.1,None,Unknown,Fe-S cluster assembly ATPase SufC ,OTHER,1,None,Cytoplasmic,0.7337,None,None,o,0,0,i,253,None,None,None,None,None,None,None
WP_001829791.1,None,Cytoplasm,30S ribosomal protein S3 ,OTHER,1,None,Extracellular,0.6844,None,None,o,0,0,i,217,WP_000529877.1,96.774,217,217,217,1.55E-156,426
WP_001829710.1,None,Cytoplasm,30S ribosomal protein S19 ,OTHER,1,None,Cytoplasmic,0.8647,None,None,o,0,0,i,92,WP_001032773.1,58.333,12,92,895,3.3,20
WP_001832303.1,None,Cytoplasm,transcription termination_antitermination protein NusG ,OTHER,1,None,Cytoplasmic,0.9868,None,None,o,0,0,i,182,None,None,None,None,None,None,None
WP_001832289.1,None,Cytoplasm,elongation factor Tu ,OTHER,1,None,Cytoplasmic,0.9941,None,None,o,0,0,i,394,None,None,None,None,None,None,None
WP_002439511.1,None,Unknown,UMP kinase ,OTHER,1,None,Cytoplasmic,0.9476,None,None,o,0,0,i,240,None,None,None,None,None,None,None
WP_001829714.1,None,Cytoplasm,30S ribosomal protein S9 ,OTHER,1,None,Cytoplasmic,0.8977,None,None,o,0,0,i,130,WP_001790547.1,96.923,130,130,130,1.22E-92,257
WP_001831779.1,None,Cytoplasm,replicative DNA helicase ,OTHER,1,None,Cytoplasmic,0.8982,None,None,o,0,0,i,466,None,None,None,None,None,None,None
WP_001831980.1,None,Unknown,Fe-S cluster assembly protein SufB ,OTHER,1,None,Cytoplasmic,0.7084,None,None,o,0,0,i,465,None,None,None,None,None,None,None
WP_001829778.1,None,Cytoplasm,50S ribosomal protein L5 ,OTHER,1,None,Extracellular,0.906,None,None,o,0,0,i,179,WP_001080824.1,96.089,179,179,179,1.48E-127,350
WP_001830989.1,None,Unknown,flotillin-like protein FloA ,OTHER,1,None,Cytoplasmic Membrane,0.9898,None,None,i2-24o28-47i,2,2,i5-23o29-47i,329,None,None,None,None,None,None,None
WP_001829718.1,None,Cytoplasm,50S ribosomal protein L17 ,OTHER,1,None,Extracellular,0.491,None,None,o,0,0,i,122,WP_000542274.1,95.902,122,122,122,1.02E-82,232
WP_001829703.1,None,Cytoplasm,30S ribosomal protein S13 ,OTHER,1,None,Extracellular,0.5019,None,None,o,0,0,i,121,WP_000090796.1,95.868,121,121,121,8.50E-83,232
WP_001831979.1,None,Cytoplasm,lipoyl synthase ,OTHER,1,None,Cytoplasmic,0.9394,None,None,o,0,0,i,304,None,None,None,None,None,None,None
WP_001829788.1,None,Cytoplasm,50S ribosomal protein L2 ,OTHER,1,None,Extracellular,0.9616,None,None,o,0,0,i,277,WP_000985472.1,95.668,277,277,277,0,542
WP_001831918.1,None,Unknown,S1 domain-containing post-transcriptional regulator Ygs ,OTHER,1,None,Cytoplasmic,0.9635,None,None,o,0,0,i,126,None,None,None,None,None,None,None
WP_002457534.1,None,Unknown,DUF47 domain-containing protein ,OTHER,1,None,Cytoplasmic,0.9806,None,None,o,0,0,i,205,None,None,None,None,None,None,None
WP_001831706.1,None,Unknown,"1,4-dihydroxy-2-naphthoyl-CoA synthase ",OTHER,1,None,Cytoplasmic,0.9443,None,None,o,0,0,i,272,None,None,None,None,None,None,None
WP_001831650.1,None,Unknown,dihydrolipoyl dehydrogenase ,OTHER,1,None,Cytoplasmic,0.9785,None,None,o,0,0,i,468,None,None,None,None,None,None,None
WP_002438689.1,None,Unknown,DNA-directed RNA polymerase subunit beta_ ,OTHER,1,None,Cytoplasmic,0.8017,None,None,o,0,0,i,1198,None,None,None,None,None,None,None
WP_001830767.1,None,Cytoplasm,50S ribosomal protein L35 ,OTHER,1,None,Extracellular,0.8591,P,0.596,i,0,0,i,66,None,None,None,None,None,None,None
WP_001831995.1,None,Unknown,Glu_Leu_Phe_Val family dehydrogenase ,OTHER,1,None,Cytoplasmic,0.9512,None,None,o,0,0,i,414,None,None,None,None,None,None,None
WP_001829492.1,None,Unknown,type I glutamate--ammonia ligase ,OTHER,1,None,Cytoplasmic,0.9839,None,None,o,0,0,i,446,WP_000792564.1,47.826,23,446,436,1.2,24.6
WP_001830840.1,None,Cytoplasm,tRNA guanosine_34_ transglycosylase Tgt ,OTHER,1,None,Cytoplasmic,0.9779,None,None,o,0,0,i,379,None,None,None,None,None,None,None
WP_001829343.1,None,Unknown,YbaB_EbfC family nucleoid-associated protein ,OTHER,1,None,Cytoplasmic,0.9934,None,None,o,0,0,i,105,WP_000151982.1,47.059,17,105,388,5.5,19.6
WP_001829959.1,None,Unknown,type B 50S ribosomal protein L31 ,OTHER,1,None,Cytoplasmic,0.847,None,None,o,0,0,i,85,WP_001074405.1,85.714,7,85,465,7,18.9
WP_001832287.1,None,Unknown,elongation factor G ,OTHER,1,None,Cytoplasmic,0.9955,None,None,o,0,0,i,693,None,None,None,None,None,None,None
WP_001830439.1,None,Unknown,two-component system response regulator VraR ,OTHER,1,None,Cytoplasmic,0.9901,None,None,o,0,0,i,209,WP_000166059.1,46.154,13,209,279,10,20.4
WP_001829796.1,None,Cytoplasm,50S ribosomal protein L15 ,OTHER,1,None,Extracellular,0.9891,None,None,o,0,0,i,146,WP_000766074.1,95.205,146,146,146,2.59E-99,276
WP_001829985.1,None,Unknown,transcription termination factor Rho ,OTHER,1,None,Cytoplasmic,0.9033,None,None,o,0,0,i,438,WP_001167887.1,50,18,438,697,2.6,23.5
WP_001831649.1,None,Unknown,ribonuclease J1 ,OTHER,1,None,Cytoplasmic,0.9087,None,None,o,0,0,i,560,None,None,None,None,None,None,None
